Suburb,Rooms,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
Abbotsford,2,500000.0,2.5,3067.0,1.0,1.0,0.0,60.0,1970.0,Yarra
Abbotsford,2,1100000.0,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,Yarra
Abbotsford,2,1315000.0,2.5,3067.0,1.0,0.0,147.0,85.0,1900.0,Yarra
Abbotsford,1,426000.0,2.5,3067.0,1.0,1.0,0.0,,,Yarra
Abbotsford,3,1447500.0,2.5,3067.0,3.0,1.0,166.0,174.0,2012.0,Yarra
Abbotsford,1,457000.0,2.5,3067.0,1.0,1.0,0.0,50.0,,Yarra
Abbotsford,2,1135000.0,2.5,3067.0,2.0,2.0,98.0,128.0,1920.0,Yarra
Abbotsford,4,1542000.0,2.5,3067.0,3.0,1.0,0.0,,,Yarra
Abbotsford,3,1290000.0,2.5,3067.0,2.0,2.0,147.0,18.0,,Yarra
Abbotsford,3,1290000.0,2.5,3067.0,1.0,1.0,168.0,124.0,1950.0,Yarra
Abbotsford,1,470000.0,2.5,3067.0,1.0,1.0,0.0,50.0,2013.0,Yarra
Abbotsford,2,1180000.0,2.5,3067.0,1.0,0.0,162.0,91.0,1900.0,Yarra
Abbotsford,3,1195000.0,2.5,3067.0,2.0,1.0,120.0,128.0,1998.0,Yarra
Abbotsford,2,1012500.0,2.5,3067.0,1.0,0.0,182.0,82.0,1900.0,Yarra
Abbotsford,2,1030000.0,2.5,3067.0,1.0,1.0,172.0,81.0,1930.0,Yarra
Airport West,3,840000.0,13.5,3042.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley
Airport West,3,730000.0,13.5,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley
Airport West,3,770000.0,13.5,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley
Airport West,2,603000.0,13.5,3042.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley
Airport West,3,700000.0,13.5,3042.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley
Airport West,3,600000.0,13.5,3042.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley
Airport West,2,500000.0,13.5,3042.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley
Airport West,3,720000.0,13.5,3042.0,1.0,1.0,620.0,,,Moonee Valley
Airport West,4,785000.0,13.5,3042.0,1.0,2.0,597.0,127.0,,Moonee Valley
Airport West,6,725000.0,13.5,3042.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley
Airport West,2,450000.0,13.5,3042.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley
Airport West,2,515000.0,13.5,3042.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley
Airport West,2,530000.0,13.5,3042.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley
Airport West,3,895000.0,13.5,3042.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley
Airport West,3,805000.0,13.5,3042.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley
Airport West,3,752000.0,13.5,3042.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley
Airport West,2,440000.0,13.5,3042.0,1.0,1.0,192.0,,,Moonee Valley
Airport West,5,755000.0,13.5,3042.0,2.0,2.0,596.0,,,Moonee Valley
Airport West,3,700000.0,13.5,3042.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley
Airport West,3,830000.0,13.5,3042.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley
Airport West,2,462500.0,13.5,3042.0,1.0,1.0,164.0,,2003.0,Moonee Valley
Airport West,3,670000.0,13.5,3042.0,2.0,2.0,657.0,,,Moonee Valley
Airport West,2,675000.0,13.5,3042.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley
Airport West,3,1042000.0,13.5,3042.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley
Airport West,3,910000.0,13.5,3042.0,1.0,1.0,775.0,,,Moonee Valley
Airport West,4,773000.0,13.5,3042.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley
Airport West,3,810000.0,13.5,3042.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley
Airport West,3,715000.0,13.5,3042.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley
Airport West,3,790000.0,13.5,3042.0,1.0,3.0,614.0,,,Moonee Valley
Airport West,3,540000.0,13.5,3042.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley
Airport West,3,825000.0,13.5,3042.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley
Airport West,3,685000.0,13.5,3042.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley
Airport West,3,805000.0,13.5,3042.0,1.0,1.0,623.0,,,Moonee Valley
Airport West,2,510000.0,13.5,3042.0,1.0,1.0,141.0,76.0,,Moonee Valley
Airport West,3,612000.0,13.5,3042.0,2.0,1.0,212.0,,,Moonee Valley
Airport West,3,662000.0,13.5,3042.0,1.0,2.0,612.0,,,Moonee Valley
Airport West,4,978000.0,13.5,3042.0,3.0,2.0,532.0,,,Moonee Valley
Airport West,3,720000.0,13.5,3042.0,1.0,1.0,585.0,,,Moonee Valley
Airport West,4,765000.0,13.5,3042.0,1.0,2.0,509.0,,,Moonee Valley
Airport West,4,900000.0,13.5,3042.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley
Albert Park,2,1275000.0,3.3,3206.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip
Albert Park,2,1455000.0,3.3,3206.0,1.0,0.0,159.0,,,Port Phillip
Albert Park,3,1850000.0,3.3,3206.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip
Albert Park,2,1436000.0,3.3,3206.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip
Albert Park,2,1110000.0,3.3,3206.0,1.0,0.0,147.0,,1900.0,Port Phillip
Albert Park,2,1550000.0,3.3,3206.0,1.0,1.0,167.0,,,Port Phillip
Albert Park,4,2300000.0,3.3,3206.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip
Albert Park,3,1550000.0,3.3,3206.0,2.0,2.0,718.0,,,Port Phillip
Albert Park,3,1800000.0,3.3,3206.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip
Albert Park,2,2120000.0,3.3,3206.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip
Albert Park,3,1800000.0,3.3,3206.0,1.0,1.0,253.0,,,Port Phillip
Albert Park,3,1800000.0,3.3,3206.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip
Albert Park,2,1810000.0,3.3,3206.0,1.0,0.0,240.0,,,Port Phillip
Albert Park,5,2100000.0,3.3,3206.0,2.0,1.0,237.0,,,Port Phillip
Albert Park,3,1300000.0,3.3,3206.0,1.0,0.0,129.0,,,Port Phillip
Albert Park,3,1370000.0,3.3,3206.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip
Albert Park,2,1000000.0,3.3,3206.0,1.0,0.0,288.0,,,Port Phillip
Albert Park,2,1322500.0,3.3,3206.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip
Albert Park,2,1562500.0,3.3,3206.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip
Albert Park,3,2000000.0,3.3,3206.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip
Albert Park,3,1900000.0,3.3,3206.0,1.0,0.0,209.0,,1900.0,Port Phillip
Albert Park,2,647000.0,3.3,3206.0,1.0,1.0,0.0,,,Port Phillip
Albert Park,3,2100000.0,3.3,3206.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip
Albert Park,3,2000000.0,3.3,3206.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip
Albert Park,1,442500.0,3.3,3206.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip
Albert Park,2,1340000.0,3.3,3206.0,1.0,0.0,136.0,,,Port Phillip
Albert Park,3,1801000.0,3.3,3206.0,1.0,1.0,202.0,,,Port Phillip
Albert Park,3,1532000.0,3.3,3206.0,3.0,1.0,0.0,,,Port Phillip
Albert Park,4,2140000.0,3.3,3206.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip
Albert Park,2,1750000.0,3.3,3206.0,1.0,1.0,162.0,,,Port Phillip
Albert Park,2,980000.0,3.3,3206.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip
Albert Park,3,2030000.0,3.3,3206.0,2.0,0.0,152.0,,,Port Phillip
Albert Park,3,1740000.0,3.3,3206.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip
Albert Park,1,985000.0,3.3,3206.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip
Alphington,4,2000000.0,6.4,3078.0,2.0,4.0,853.0,263.0,1930.0,Darebin
Alphington,3,1110000.0,6.4,3078.0,2.0,2.0,208.0,,2013.0,Yarra
Alphington,3,1492000.0,6.4,3078.0,2.0,2.0,411.0,,,Darebin
Alphington,4,1717500.0,6.4,3078.0,2.0,1.0,599.0,203.0,1925.0,Darebin
Alphington,2,525500.0,6.4,3078.0,1.0,1.0,88.0,60.0,1960.0,Darebin
Alphington,2,805000.0,6.4,3078.0,2.0,3.0,155.0,140.0,2004.0,Darebin
Alphington,2,465000.0,6.4,3078.0,1.0,1.0,0.0,,,Darebin
Alphington,3,2000000.0,6.4,3078.0,3.0,2.0,686.0,,,Darebin
Alphington,3,1540000.0,6.4,3078.0,1.0,2.0,592.0,,,Darebin
Alphington,2,820000.0,6.4,3078.0,1.0,1.0,183.0,,,Darebin
Alphington,4,1830000.0,6.4,3078.0,2.0,2.0,606.0,112.0,1970.0,Darebin
Alphington,4,2100000.0,6.4,3078.0,2.0,2.0,575.0,271.0,2008.0,Darebin
Alphington,3,865000.0,6.4,3078.0,1.0,1.0,180.0,131.0,2010.0,Darebin
Alphington,2,390000.0,6.4,3078.0,1.0,1.0,0.0,60.0,1960.0,Darebin
Alphington,2,650000.0,6.4,3078.0,1.0,0.0,0.0,,,Yarra
Alphington,2,512000.0,6.4,3078.0,1.0,1.0,0.0,61.0,1965.0,Darebin
Alphington,3,1165000.0,6.4,3078.0,1.0,2.0,979.0,,,Yarra
Alphington,4,1900000.0,6.4,3078.0,2.0,2.0,556.0,272.0,1930.0,Yarra
Alphington,3,1485000.0,6.4,3078.0,0.0,0.0,597.0,,,Darebin
Alphington,4,1950000.0,6.4,3078.0,2.0,3.0,589.0,210.0,1920.0,Darebin
Altona,3,520000.0,13.8,3018.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay
Altona,5,1525000.0,13.8,3018.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay
Altona,2,720000.0,13.8,3018.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay
Altona,3,1120000.0,13.8,3018.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay
Altona,4,780000.0,13.8,3018.0,1.0,4.0,655.0,,,Hobsons Bay
Altona,4,1780000.0,13.8,3018.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay
Altona,3,630000.0,13.8,3018.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay
Altona,2,406000.0,13.8,3018.0,1.0,1.0,65.0,,,Hobsons Bay
Altona,3,660000.0,13.8,3018.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay
Altona,3,683500.0,13.8,3018.0,1.0,1.0,530.0,,,Hobsons Bay
Altona,2,580000.0,13.8,3018.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay
Altona,3,1335000.0,13.8,3018.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay
Altona,3,800000.0,13.8,3018.0,2.0,2.0,280.0,,1997.0,Hobsons Bay
Altona,2,510000.0,13.8,3018.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay
Altona,4,1070000.0,13.8,3018.0,2.0,2.0,695.0,,,Hobsons Bay
Altona,2,425000.0,13.8,3018.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay
Altona,3,605000.0,13.8,3018.0,2.0,2.0,230.0,,,Hobsons Bay
Altona,3,705000.0,13.8,3018.0,2.0,2.0,197.0,152.0,,Hobsons Bay
Altona,2,391000.0,13.8,3018.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay
Altona,2,440000.0,13.8,3018.0,1.0,1.0,0.0,,,Hobsons Bay
Altona,4,845000.0,13.8,3018.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay
Altona,3,743000.0,13.8,3018.0,2.0,2.0,211.0,176.0,,Hobsons Bay
Altona,3,730000.0,13.8,3018.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay
Altona,3,635000.0,13.8,3018.0,1.0,4.0,625.0,,1960.0,Hobsons Bay
Altona,2,620000.0,13.8,3018.0,1.0,1.0,168.0,,,Hobsons Bay
Altona,2,447000.0,13.8,3018.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay
Altona,3,730000.0,13.8,3018.0,2.0,1.0,70.0,,,Hobsons Bay
Altona,3,678000.0,13.8,3018.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay
Altona,2,580000.0,13.8,3018.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay
Altona,3,712000.0,13.8,3018.0,1.0,2.0,363.0,,,Hobsons Bay
Altona,3,840000.0,13.8,3018.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay
Altona,3,980000.0,13.8,3018.0,1.0,2.0,724.0,,,Hobsons Bay
Altona,3,605100.0,13.8,3018.0,2.0,0.0,265.0,,,Hobsons Bay
Altona,3,880000.0,13.8,3018.0,3.0,1.0,577.0,,,Hobsons Bay
Altona,3,577000.0,13.8,3018.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay
Altona,4,1030000.0,13.8,3018.0,1.0,0.0,797.0,,,Hobsons Bay
Altona,3,605000.0,13.8,3018.0,1.0,2.0,181.0,,,Hobsons Bay
Altona,3,753000.0,13.8,3018.0,2.0,2.0,529.0,,,Hobsons Bay
Altona,2,857000.0,13.8,3018.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay
Altona,3,1500000.0,13.8,3018.0,1.0,1.0,929.0,,,Hobsons Bay
Altona,3,730000.0,13.8,3018.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay
Altona,3,900000.0,13.8,3018.0,1.0,4.0,697.0,,,Hobsons Bay
Altona,3,740000.0,13.8,3018.0,1.0,2.0,604.0,,,Hobsons Bay
Altona,4,931000.0,13.8,3018.0,2.0,3.0,532.0,,1970.0,Hobsons Bay
Altona,2,535600.0,13.8,3018.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay
Altona North,5,1085000.0,11.1,3025.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay
Altona North,3,781000.0,11.1,3025.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay
Altona North,3,750000.0,11.1,3025.0,1.0,3.0,554.0,,,Hobsons Bay
Altona North,2,421000.0,11.1,3025.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay
Altona North,3,1405000.0,11.1,3025.0,1.0,3.0,655.0,,,Hobsons Bay
Altona North,3,683000.0,11.1,3025.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay
Altona North,3,623000.0,11.1,3025.0,1.0,3.0,540.0,,,Hobsons Bay
Altona North,3,720000.0,11.1,3025.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay
Altona North,3,588000.0,11.1,3025.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay
Altona North,3,710000.0,11.1,3025.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay
Altona North,4,875000.0,11.1,3025.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay
Altona North,3,700000.0,11.1,3025.0,1.0,3.0,554.0,,,Hobsons Bay
Altona North,2,640000.0,11.1,3025.0,1.0,1.0,252.0,,1965.0,Hobsons Bay
Altona North,4,650000.0,11.1,3025.0,1.0,4.0,558.0,,,Hobsons Bay
Altona North,3,675000.0,11.1,3025.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay
Altona North,3,708000.0,11.1,3025.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay
Altona North,4,965000.0,11.1,3025.0,1.0,4.0,851.0,,,Hobsons Bay
Altona North,3,680000.0,11.1,3025.0,1.0,3.0,551.0,,,Hobsons Bay
Altona North,3,770000.0,11.1,3025.0,1.0,3.0,602.0,603.0,,Hobsons Bay
Altona North,3,923000.0,11.1,3025.0,1.0,2.0,740.0,,,Hobsons Bay
Altona North,4,693000.0,11.1,3025.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay
Altona North,3,620000.0,11.1,3025.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay
Altona North,3,728500.0,11.1,3025.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay
Altona North,3,931000.0,11.1,3025.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay
Altona North,3,988000.0,11.1,3025.0,1.0,4.0,715.0,,2008.0,Hobsons Bay
Altona North,3,590000.0,11.1,3025.0,1.0,2.0,561.0,,,Hobsons Bay
Altona North,2,610000.0,11.1,3025.0,1.0,2.0,691.0,,,Hobsons Bay
Altona North,3,815000.0,11.1,3025.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay
Altona North,4,970000.0,11.1,3025.0,1.0,2.0,708.0,,,Hobsons Bay
Altona North,4,760000.0,11.1,3025.0,1.0,3.0,668.0,,,Hobsons Bay
Altona North,4,847500.0,11.1,3025.0,3.0,1.0,252.0,,,Hobsons Bay
Altona North,4,1200000.0,11.1,3025.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay
Altona North,3,700000.0,11.1,3025.0,1.0,1.0,557.0,,,Hobsons Bay
Altona North,3,625000.0,11.1,3025.0,1.0,1.0,536.0,,,Hobsons Bay
Altona North,2,292000.0,11.1,3025.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay
Armadale,2,599000.0,6.3,3143.0,1.0,1.0,0.0,76.0,1964.0,Stonnington
Armadale,2,550000.0,6.3,3143.0,1.0,0.0,861.0,,,Stonnington
Armadale,3,995000.0,6.3,3143.0,2.0,2.0,0.0,100.0,1998.0,Stonnington
Armadale,3,1205000.0,6.3,3143.0,2.0,2.0,101.0,105.0,2000.0,Stonnington
Armadale,3,1939000.0,6.3,3143.0,2.0,2.0,296.0,150.0,1889.0,Stonnington
Armadale,1,421500.0,6.3,3143.0,1.0,0.0,0.0,,,Stonnington
Armadale,3,1870000.0,6.3,3143.0,1.0,1.0,217.0,116.0,1888.0,Stonnington
Armadale,2,678000.0,6.3,3143.0,1.0,2.0,0.0,,,Stonnington
Armadale,3,1918000.0,6.3,3143.0,2.0,2.0,0.0,165.0,1995.0,Stonnington
Armadale,2,660000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,3,2050000.0,6.3,3143.0,2.0,1.0,205.0,116.0,1910.0,Stonnington
Armadale,2,700000.0,6.3,3143.0,1.0,2.0,0.0,,,Stonnington
Armadale,5,1525000.0,6.3,3143.0,2.0,2.0,693.0,,,Stonnington
Armadale,3,735000.0,6.3,3143.0,2.0,1.0,2113.0,14.0,1970.0,Stonnington
Armadale,2,825000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,3,1586000.0,6.3,3143.0,2.0,2.0,246.0,,,Stonnington
Armadale,2,645000.0,6.3,3143.0,1.0,1.0,0.0,,1960.0,Stonnington
Armadale,1,1435000.0,6.3,3143.0,2.0,1.0,144.0,107.0,1900.0,Stonnington
Armadale,1,280000.0,6.3,3143.0,1.0,1.0,0.0,38.0,1975.0,Stonnington
Armadale,1,400000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,2,1780000.0,6.3,3143.0,2.0,2.0,0.0,,,Stonnington
Armadale,2,592500.0,6.3,3143.0,1.0,1.0,0.0,73.0,1970.0,Stonnington
Armadale,2,1210000.0,6.3,3143.0,1.0,0.0,249.0,96.0,1910.0,Stonnington
Armadale,1,390000.0,6.3,3143.0,1.0,0.0,881.0,,,Stonnington
Armadale,3,1800000.0,6.3,3143.0,2.0,2.0,405.0,121.0,1910.0,Stonnington
Armadale,4,2200000.0,6.3,3143.0,1.0,2.0,495.0,163.0,1900.0,Stonnington
Armadale,1,324000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,2,1125000.0,6.3,3143.0,1.0,2.0,169.0,,,Stonnington
Armadale,3,2250000.0,6.3,3143.0,3.0,1.0,301.0,,,Stonnington
Armadale,2,1900000.0,6.3,3143.0,2.0,0.0,207.0,,,Stonnington
Armadale,1,440000.0,6.3,3143.0,1.0,1.0,0.0,53.0,1970.0,Stonnington
Armadale,2,490000.0,6.3,3143.0,1.0,1.0,0.0,,1966.0,Stonnington
Armadale,3,1300000.0,6.3,3143.0,1.0,2.0,212.0,106.0,1900.0,Stonnington
Armadale,3,732000.0,6.3,3143.0,2.0,2.0,0.0,,,Stonnington
Armadale,2,704000.0,6.3,3143.0,1.0,1.0,0.0,74.0,1969.0,Stonnington
Armadale,2,620000.0,6.3,3143.0,1.0,1.0,0.0,98.0,1970.0,Stonnington
Armadale,3,1900000.0,6.3,3143.0,1.0,2.0,328.0,108.0,1900.0,Stonnington
Armadale,1,315000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,1,450000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,2,710000.0,6.3,3143.0,1.0,1.0,2471.0,80.0,1970.0,Stonnington
Armadale,2,872000.0,6.3,3143.0,1.0,1.0,1194.0,,1953.0,Stonnington
Armadale,2,598000.0,6.3,3143.0,1.0,1.0,0.0,88.0,1970.0,Stonnington
Armadale,3,1285000.0,6.3,3143.0,1.0,2.0,186.0,80.0,1920.0,Stonnington
Armadale,2,520000.0,6.3,3143.0,1.0,1.0,0.0,76.0,1970.0,Stonnington
Armadale,3,1101000.0,6.3,3143.0,1.0,2.0,103.0,3.0,2000.0,Stonnington
Armadale,4,2000000.0,6.3,3143.0,3.0,4.0,544.0,,,Stonnington
Armadale,3,869000.0,6.3,3143.0,1.0,1.0,0.0,91.0,1940.0,Stonnington
Armadale,2,565000.0,6.3,3143.0,1.0,1.0,0.0,,,Stonnington
Armadale,1,567000.0,6.3,3143.0,1.0,1.0,0.0,53.0,2013.0,Stonnington
Armadale,2,546000.0,6.3,3143.0,0.0,0.0,0.0,,,Stonnington
Armadale,2,471500.0,6.3,3143.0,1.0,1.0,0.0,,1980.0,Stonnington
Ascot Vale,2,455000.0,5.9,3032.0,1.0,2.0,0.0,,,Moonee Valley
Ascot Vale,3,940000.0,5.9,3032.0,1.0,2.0,298.0,108.0,1920.0,Moonee Valley
Ascot Vale,2,467000.0,5.9,3032.0,1.0,1.0,0.0,62.0,1980.0,Moonee Valley
Ascot Vale,3,1380000.0,5.9,3032.0,2.0,2.0,277.0,174.0,1910.0,Moonee Valley
Ascot Vale,2,490000.0,5.9,3032.0,1.0,1.0,423.0,62.0,1970.0,Moonee Valley
Ascot Vale,4,1850000.0,5.9,3032.0,3.0,1.0,478.0,270.0,1900.0,Moonee Valley
Ascot Vale,3,1284000.0,5.9,3032.0,1.0,2.0,623.0,,1938.0,Moonee Valley
Ascot Vale,3,971000.0,5.9,3032.0,2.0,2.0,285.0,128.0,1900.0,Moonee Valley
Ascot Vale,2,710000.0,5.9,3032.0,1.0,1.0,214.0,77.0,1890.0,Moonee Valley
Ascot Vale,2,750000.0,5.9,3032.0,1.0,1.0,226.0,92.0,1920.0,Moonee Valley
Ascot Vale,2,1053000.0,5.9,3032.0,1.0,1.0,269.0,109.0,1900.0,Moonee Valley
Ascot Vale,3,1377000.0,5.9,3032.0,1.0,1.0,417.0,168.0,1900.0,Moonee Valley
Ascot Vale,3,970000.0,5.9,3032.0,1.0,2.0,350.0,125.0,1904.0,Moonee Valley
Ascot Vale,2,940000.0,5.9,3032.0,1.0,1.0,330.0,,,Moonee Valley
Ascot Vale,2,751000.0,5.9,3032.0,1.0,1.0,118.0,79.0,1890.0,Moonee Valley
Ascot Vale,2,950000.0,5.9,3032.0,1.0,1.0,173.0,102.0,1900.0,Moonee Valley
Ascot Vale,2,685000.0,5.9,3032.0,1.0,2.0,228.0,90.0,1995.0,Moonee Valley
Ascot Vale,3,1230000.0,5.9,3032.0,1.0,2.0,594.0,148.0,1960.0,Moonee Valley
Ascot Vale,2,636500.0,5.9,3032.0,1.0,1.0,0.0,,,Moonee Valley
Ascot Vale,3,910000.0,5.9,3032.0,1.0,0.0,317.0,,,Moonee Valley
Ascot Vale,2,770000.0,5.9,3032.0,1.0,1.0,226.0,87.0,1900.0,Moonee Valley
Ascot Vale,3,960000.0,5.9,3032.0,2.0,2.0,229.0,,2011.0,Moonee Valley
Ascot Vale,4,890000.0,5.9,3032.0,1.0,1.0,300.0,185.0,1890.0,Moonee Valley
Ascot Vale,2,965000.0,5.9,3032.0,1.0,1.0,170.0,,,Moonee Valley
Ascot Vale,3,1440000.0,5.9,3032.0,1.0,1.0,487.0,131.0,1900.0,Moonee Valley
Ascot Vale,2,955000.0,5.9,3032.0,1.0,0.0,255.0,,,Moonee Valley
Ascot Vale,2,450000.0,5.9,3032.0,1.0,1.0,0.0,,2010.0,Moonee Valley
Ascot Vale,3,801000.0,5.9,3032.0,1.0,2.0,431.0,,1950.0,Moonee Valley
Ascot Vale,3,1000000.0,5.9,3032.0,2.0,2.0,440.0,120.0,1955.0,Moonee Valley
Ascot Vale,3,1435000.0,5.9,3032.0,2.0,2.0,532.0,147.0,1950.0,Moonee Valley
